,name,description,picture_url,host_id,host_name,host_since,host_location,host_response_time,host_identity_verified,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,neighborhood
39,SpaHa Loft: Enormous and Bright,"Our luxury loft occupies the entire second floor of an old warehouse with high ceilings, lots of windows, 4 bedrooms & 2 bathrooms. It's located next to a small park on a very quiet block. Supermarket is next door, and the subway five minutes away.<br /><br /><b>The space</b><br />ABSOLUTELY NO SMOKING!<br /><br />PLEASE NOTE RATE VARIES DEPENDING ON MONTH/SEASON AND IS BASED ON 4 PEOPLE.<br /><br />A SECURITY DEPOSIT IS REQUIRED, AND <br />THERE IS A $150 CLEANING FEE.<br /><br />AVAILABLE ALL YEAR!<br />ALL UTILITIES & WIFI INCLUDED.<br /><br />CHECKOUT TIME IS 10:00 AM.<br /><br />Soak up the Latin beat of exciting SpaHa (Manhattan's Spanish Harlem) in this 2000+ square foot luxury loft taking up the entire second floor of an old warehouse that has been renovated with care. With 12ft ceilings, the custom windows let in tons of light.  <br /><br />The loft has four bedrooms (2 with queen beds, 2 with 2 twins).  In true loft fashion, the walls don't quite reach the ceilings, but it's ",https://a0.muscache.com/pictures/472644/0a0498f0_original.jpg,65837,Robin,12/26/09,"New York, New York, United States",within a few hours,t,Entire home/apt,8,2.0,4.0,6.0,"[""Heating"", ""Washer"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Stove"", ""Dedicated workspace"", ""Microwave"", ""High chair"", ""Dishes and silverware"", ""Kitchen"", ""Refrigerator"", ""Coffee maker"", ""TV"", ""Essentials"", ""Cooking basics"", ""Dryer"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Elevator"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Hair dryer""]",$250.00,4,365,218,97.0,East Harlem
1404,Luxury Palace in the sky!,"This is the New York City apartment of your dreams!<br /><br />Pristine, quiet, and gorgeous super high floor corner unit, with immense sunlight, wrap around huge windows with views in each room. <br /><br />A spectacularly beautiful oversized 2 bedroom, 350 feet in the air, in the heart of the city, with breathtaking views, and within walking distance to NYC's greatest sights!<br /><br />Stay in luxury with 2 marble bathrooms, tempurpedic beds, room for 6,  wrap around windows, 24 hour security, and lots of light!<br /><br /><b>The space</b><br />4.9 rating over 130 stays! <br /><br />Extremely beautiful sky high and oversized two bedroom in an ultra-luxe building in the upscale Chelsea/Flatiron area, with breathtaking views. <br /><br />Perfect for groups and families - features 2 full bathrooms, one on each wing of the apartment.<br /><br />Master suite has wrap around windows, and a tempurpedic king bed, along with an attached marble bathroom. <br /><br />Guest bedroom has remarkab",https://a0.muscache.com/pictures/c23bad7a-3bd9-429a-a4cb-9e43a975d9da.jpg,3740730,S,10/2/12,"New York, New York, United States",within an hour,t,Entire home/apt,6,2.0,2.0,2.0,"[""Cable TV"", ""Refrigerator"", ""Crib"", ""Shower gel"", ""Essentials"", ""Cleaning before checkout"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Patio or balcony"", ""Long term stays allowed"", ""Freezer"", ""Luggage dropoff allowed"", ""First aid kit"", ""Pocket wifi"", ""Dishes and silverware"", ""Elevator"", ""Conditioner"", ""Kitchen"", ""TV"", ""Paid parking on premises"", ""Heating"", ""Fire extinguisher"", ""Game console"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Bathtub"", ""Body soap"", ""Room-darkening shades"", ""Stove"", ""BBQ grill"", ""Hot water"", ""Baby safety gates"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Building staff"", ""Extra pillows and blankets"", ""Coffee maker"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Portable fans"", ""Sound system"", ""Smoke alarm"", ""Pour-over coffee"", ""Oven"", ""Backyard"", ""Bed linens"", ""Air conditioning"", ""Window guards""]",$568.00,6,365,132,98.0,Chelsea
1753,"NYC LARGE 3 BR West Side Manhattan, New York City","Great 1600 Sq Ft. 3 BR apartment with 12 ft ceilings; Lots of light; Great views; Elevator building. <br /><br />Come to our home in the heart of The Upper West Side  (72nd Street) near Lincoln Center, Central and Riverside Parks & public transportation (steps away from express and local subways and buses). Many top restaurants, grocery stores and shops within blocks. Sleeps  up to 7 people, or 8 if squeezed in.<br /><br /><b>The space</b><br />Our building is an elevator building. Our apartment is on the top floor with lots of sun light.  Huge living room, entrance with dining area, 3 big bedrooms, 1.5 bathrooms and a brand new kitchen.<br /><br /><b>Guest access</b><br />We have Wifi, high speed cable and Sony PS4 and Wii gaming consoles.",https://a0.muscache.com/pictures/24883407/140f6cd7_original.jpg,8336526,Matthew,8/22/13,"New York, New York, United States",within a few hours,t,Entire home/apt,6,1.5,3.0,4.0,"[""Cable TV"", ""Refrigerator"", ""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Paid parking off premises"", ""Free street parking"", ""Cooking basics"", ""Stove"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$550.00,5,1125,18,95.0,Upper West Side
1855,Duplex apartment with garden,"Duplex apartment in townhouse with private entrance and garden. A total of 2000 sqf, stunning Victorian style apartment with a beautiful private 1000 sqf garden with gazebo. <br />1 block from Central park , 4 blocks from the subway/metro. Washer, dryer, tv, AC's. Legal Airbnb rental. Available for long term rental.<br /><br /><b>The space</b><br />There are 2 bedrooms and 2 bathrooms on the garden level and a living room, kitchen and separate dining room in the upper floor.  In the living room is a piano, and a comfortable convertible sofa. Each floor is 1000 square feet.  A 1000 square foot garden with a gazebo, furniture and plantings is off the garden-level floor.<br />This a beautiful apartment  situated in a historic brownstone on the Upper West Side. Its gorgeous private garden was recently redesigned and planted by an excellent landscape architect. <br /><br />There is a washer, dryer, ironing board and iron within the unit. We have a twin mattress stored in the garden facing b",https://a0.muscache.com/pictures/19d36ffb-d1c0-4b0b-b14b-76adcf9ab3d0.jpg,7379093,Francesca,7/9/13,"New York, New York, United States",within an hour,t,Entire home/apt,7,2.0,2.0,3.0,"[""Cable TV"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Indoor fireplace"", ""Cooking basics"", ""Shampoo"", ""Bathtub"", ""Stove"", ""Ethernet connection"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""High chair"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Backyard"", ""Oven"", ""Bed linens"", ""Babysitter recommendations"", ""Air conditioning"", ""Fireplace guards""]",$490.00,5,1125,100,96.0,Upper West Side
1887,2000 sqf  Duplex in Townhouse,"This beautiful elegantly furnished apartment is situated on the top two floors of a four story historic brownstone on the Upper West Side, less than one block from Central Park. There is washer/dryer, Wifi and TV with Netflix and other streaming services. 2 floors, living room, dining room, 2 bedrooms & 2 baths. Private entrance up the stoop. Monthly rental available. Legal Airbnb.<br /><br /><b>The space</b><br />This is a beautiful apartment  situated in a historic brownstone on the Upper West Side. It occupies the second and third floors of the brownstone.<br />On the second floor is the living room, dining room, modern kitchen and full bathroom. On the third floor are two large bedrooms with a bathroom between them.  The first bedroom (blue in the photographs) has a queen-sized bed. The second bedroom (yellow in the photographs) has a bed that separates into two twin beds or combines as a king-sized.  A trundle bed is available as is a fold out floor mattress which doubles as coffe",https://a0.muscache.com/pictures/958ede44-b470-423a-b88c-bbfdcb99b418.jpg,7379093,Francesca,7/9/13,"New York, New York, United States",within an hour,t,Entire home/apt,7,2.0,2.0,4.0,"[""Cable TV"", ""Refrigerator"", ""Crib"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Paid parking off premises"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""High chair"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Oven"", ""Babysitter recommendations"", ""Air conditioning""]",$360.00,5,400,135,95.0,Upper West Side
3552,"LUXURY entire apt, steps to Central Park","Beautiful, clean, spacious 2 bedroom 2 full bathroom with an amazing view of the Upper West Side and rooftop view of Central Park. Roof has tables and chairs and swing set for kids. Great for a family (one crib, pack n play, twin bed with rail), couple(s) or group of friends. 10 steps from Central Park. Less than 5 minutes from Lincoln Center, Columbus Circle and incredible shops and restaurants on Columbus Avenue. Movie theatre at end of the street. Heart of the Upper West Side!<br /><br /><b>The space</b><br />Entire apartment available, including roof<br /><br /><b>Guest access</b><br />Laundry access",https://a0.muscache.com/pictures/39e67d78-be37-4f95-9af4-a7ec180ce446.jpg,3507684,Michael,9/8/12,"New York, New York, United States",within a few hours,t,Entire home/apt,7,2.0,2.0,4.0,"[""Crib"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Iron"", ""High chair"", ""Building staff"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Air conditioning""]",$419.00,4,1125,11,100.0,Upper West Side
4333,big bright unique artist's apartment in Manhattan,"EVERYONE'S WELCOME!<br />#blacklivesmatter #LGBTQIA #loveislove #stopasianhate<br /><br />Unique, tall, full of daylight a big 2 bedrooms apartment with a spacious living room and two bathrooms. There's plenty of space, small workstations in both bedrooms, a lot of good energy, plants and daylight. There's no places like this in this area! Also, there's a big table with six chairs in the living room, a kitchen, a comfy couch, a projector and everything else you may need to feel great! You'll love it!<br /><br /><b>The space</b><br />If you're not feeling like leaving the house today, it's more than nice here! You can stay home all day long and chill out with a cup of tea, read a book or work on your laptop. We believe our place will feel like home to you!<br /><br /><b>Guest access</b><br />We have a very fast symmetrical fiber optic Internet connection, that is available for our guests wirelessly, so internet is lightfast. You can obviously use a kitchen and any utensils that are in t",https://a0.muscache.com/pictures/2b3c85cf-54aa-4c40-ba00-215db1c96568.jpg,22087408,Dominik,10/3/14,"New York, New York, United States",within an hour,t,Entire home/apt,6,1.5,2.0,2.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Elevator"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Paid parking off premises"", ""Free street parking"", ""Cooking basics"", ""Shampoo"", ""Stove"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Bed linens"", ""Air conditioning"", ""Window guards""]",$295.00,3,21,27,99.0,Lower East Side
7836,One of a Kind Duplex Garden Apt,"Great duplex apartment with a lot of space, in an owner occupied brownstone. Everything you need is in the space and can sleep up to 8-10 guests comfortably<br /><br /><b>The space</b><br />This is really one of a kind, an entire duplex garden apt in Harlem for you and your traveling companions. <br /><br />When you enter the apt, you will walk into a large open space that consists of the living room that has a sectional sofa, a sofa bed (sleeps two) a kitchen with two bar stools and bar table top, a full dining table with seating for 8. On the same level you have a full bathroom with stand up shower. Walk through the back door and you'll enter into a finished garden with patio furniture and deck. Enjoy coffee, breakfast, meals or a good book back there!<br /><br />Go DOWNSTAIRS and you'll find one large open space that is your sleeping quarters. It has two queen size beds and two dressers, as well as a full bathroom with a stand up shower. <br /><br />Its spacious, gorgeous, clean and",https://a0.muscache.com/pictures/8406f495-5eb4-4da2-a88c-32a1e9599692.jpg,518931,Amal,4/18/11,"New York, New York, United States",within an hour,t,Entire home/apt,10,2.0,1.0,2.0,"[""Cable TV"", ""Refrigerator"", ""Essentials"", ""Dryer"", ""Patio or balcony"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""Keypad"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Free parking on premises"", ""Free street parking"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Backyard"", ""Oven"", ""Air conditioning""]",$195.00,3,1125,56,89.0,East Harlem
16855,2-bedroom in Upper West Side: Private Entrance,"Comfortable, 2-bedroom, 1.5 bathroom, apartment in great location on Upper West Side. Perfect for families. Landmarked building. Washer/Dryer in unit. Walking distance to Central Park, Museum of Natural History and Lincoln Center. King-sized bed in main bedroom, full-sized trundle bed downstairs. Subway station two blocks away.<br /><br />Garden level apartment, located on the ground floor. Small yard in front of unit. No staircases or elevator for access to the apartment. Convenient for strollers.<br /><br /><b>The space</b><br />Landmarked, Manhattan townhouse in the center of the Upper West Side. Easy walk to the best restaurants, Central Park, Beacon Theater, Lincoln Center. The entire city is just out your door.<br /><br />Master bedroom has a king-sized bed - 72 x80 inches (183 x 203 cm).<br />The trundle bed in the lower bedroom is 2 standard sized twin beds - 36 x 74 inches (92 x 187 cm).<br /><br />The kitchen, living room and master bed-room are on ground level, recessed from",https://a0.muscache.com/pictures/19954cb6-1f99-4fe8-9615-201ae690227b.jpg,3889408,Jed,10/16/12,"New York, New York, United States",within a few hours,t,Entire home/apt,4,1.5,2.0,3.0,"[""Refrigerator"", ""Essentials"", ""Dryer"", ""Pack \u2019n Play/travel crib"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Cooking basics"", ""Shampoo"", ""Bathtub"", ""Stove"", ""Lockbox"", ""Hot water"", ""Baby safety gates"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""High chair"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Oven"", ""Bed linens"", ""Air conditioning""]",$431.00,2,1125,74,99.0,Upper West Side
17166,Wyndham Midtown 45 NYC (2 Bedroom Presidential),"This incredible condo is available for rent at the Wyndham Midtown 45 at New York City. The resort is located in the heart of midtown Manhattan and has a spectacular New York City skyline view from the 33rd Floor Sky Lounge. Step out the front door and find a city full of famous landmarks. The resort is within walking distance to Grand Central Station, Time Square, Theater District and Wall Street.<br /><br /><b>The space</b><br />The condo available for rent is a 2 bedroom – 1.75 bath furnished condo. The condo has a mini kitchen with a stove, oven, microwave, refrigerator, dishwasher, cookware and dishes. The master bedroom has a king size bed with a full size bathroom. The second bedroom has a queen size bed and there is a queen size sofa sleeper in the living room. Each of the bedrooms have flat screen TV's.<br /><br />Washer/Dryer is located on the 3rd floor and it is free to use for guest.<br /><br /><b>Guest access</b><br />The rental is for the entire condo. All resort condos s",https://a0.muscache.com/pictures/ef066a3c-1e77-47a6-b274-879e2d2cb33e.jpg,100238132,Michael,10/18/16,US,within an hour,t,Entire home/apt,6,2.0,2.0,3.0,"[""Essentials"", ""Dryer"", ""Long term stays allowed"", ""Private entrance"", ""Luggage dropoff allowed"", ""First aid kit"", ""Elevator"", ""Kitchen"", ""TV"", ""Heating"", ""Fire extinguisher"", ""Paid parking off premises"", ""Shampoo"", ""Hot water"", ""Gym"", ""Wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Iron"", ""Building staff"", ""Carbon monoxide alarm"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Air conditioning""]",$353.00,3,1125,41,97.0,Midtown
